estado,llave,fn_dia,fn_mes
"01","01010304101","22","07"
"01","01010304102","09","04"
"01","01010305101","31","05"
"01","01010305102","01","05"
"01","01010305103","05","01"
"01","01010305104","17","04"
"01","01010305105","13","05"
"01","01010401101","15","12"
"01","01010402101","30","07"
"01","01010402102","14","10"
"01","01010402103","10","01"
"01","01010403101","21","08"
"01","01010403102","08","11"
"01","01010403103","06","05"
"01","01010404101","05","01"
"01","01010404102","20","07"
"01","01010405101","22","10"
"01","01010405102","17","09"
"01","01010405103","09","11"
"01","01010405104","24","01"
"01","01010601101","22","02"
"01","01010601102","99","09"
"01","01010601103","25","04"
"01","01010601104","02","11"
"01","01010601105","17","10"
"01","01010601106","07","10"
"01","01010601107","26","11"
"01","01010602101","07","08"
"01","01010602102","26","11"
"01","01010602103","04","08"
"01","01010602104","12","04"
"01","01010603101","20","12"
"01","01010603102","19","08"
"01","01010603103","99","99"
"01","01010603104","99","99"
"01","01010603105","99","99"
"01","01010604101","23","07"
"01","01010604102","14","03"
"01","01010605101","11","07"
"01","01010605102","27","12"
"01","01010605103","03","02"
"01","01010605104","04","08"
"01","01010605105","22","09"
"01","01011501101","17","05"
"01","01011502101","12","05"
"01","01011503101","04","12"
"01","01011503102","25","02"
"01","01011503103","01","12"
"01","01011503104","09","11"
"01","01011504101","13","01"
"01","01011505101","20","10"
"01","01011505102","29","06"
"01","01011702101","02","08"
"01","01011702102","99","02"
"01","01011702103","15","08"
"01","01011702104","08","11"
"01","01011702105","06","06"
"01","01011702106","11","01"
"01","01011703101","02","08"
"01","01011703102","20","08"
"01","01011703103","27","06"
"01","01011703104","17","12"
"01","01011704101","07","01"
"01","01011704102","09","10"
"01","01011704103","28","06"
"01","01011705101","09","05"
"01","01011705102","03","04"
"01","01011705103","04","04"
"01","01011705104","05","07"
"01","01011705105","07","07"
"01","01011705106","17","09"
"01","01012301101","30","10"
"01","01012301102","05","05"
"01","01012301103","12","05"
"01","01012302101","27","02"
"01","01012302102","31","08"
"01","01012302103","25","02"
"01","01012303101","20","08"
"01","01012303102","21","05"
"01","01012303103","06","03"
"01","01012304101","17","05"
"01","01012304102","24","10"
"01","01012304103","21","08"
"01","01012304104","05","12"
"01","01012304105","07","07"
"01","01012304106","06","11"
"01","01012304107","28","02"
"01","01012305101","18","04"
"01","01012305102","19","09"
"01","01012305103","18","08"
"01","01012305104","07","08"
"01","01012801101","20","08"
"01","01012801102","25","11"
"01","01012801103","14","07"
"01","01012801104","25","03"
"01","01012802101","30","05"
"01","01012802102","15","12"
"01","01012802103","06","02"
"01","01012802104","10","03"
"01","01012802105","20","07"
"01","01012804101","21","03"
"01","01012804102","17","06"
"01","01012804103","27","02"
"01","01012804104","15","02"
"01","01012804105","18","01"
"01","01012805101","12","03"
"01","01012805102","04","12"
"01","01012805103","10","05"
"01","01012805104","03","05"
"01","01012805105","14","07"
"01","01012805106","17","12"
"01","01012901101","09","05"
"01","01012901102","19","06"
"01","01012901103","02","05"
"01","01012903101","27","07"
"01","01012903102","23","05"
"01","01012904101","25","04"
"01","01012904102","10","10"
"01","01012904103","10","12"
"01","01012905101","04","07"
"01","01013602101","23","08"
"01","01013602102","10","01"
"01","01013602103","05","03"
"01","01013603101","11","12"
"01","01013603102","23","12"
"01","01013603103","13","02"
"01","01013603104","28","10"
"01","01013603105","05","08"
"01","01013604101","07","10"
"01","01013604102","19","05"
"01","01013605101","16","12"
"01","01013605102","27","09"
"01","01013605103","09","04"
"01","01013605104","30","08"
"01","01014501101","04","02"
"01","01014502101","22","07"
"01","01014502102","20","09"
"01","01014502103","01","08"
"01","01014502104","27","08"
"01","01014502105","19","04"
"01","01014503101","02","01"
"01","01014503102","16","05"
"01","01014503103","27","06"
"01","01014503104","17","01"
"01","01014503105","18","06"
"01","01014503106","18","01"
"01","01014504101","12","08"
"01","01014504102","10","12"
"01","01014504103","08","10"
"01","01014505101","12","04"
"01","01014505102","12","11"
"01","01014505103","22","12"
"01","01014505104","29","08"
"01","01014505105","29","12"
"01","01014602101","31","07"
"01","01014602102","13","01"
"01","01014602103","07","03"
"01","01014603101","08","10"
"01","01014603102","12","10"
"01","01014603103","19","05"
"01","01014603104","06","07"
"01","01014604101","03","06"
"01","01014604102","22","01"
"01","01014604103","05","06"
"01","01014604104","05","10"
"01","01014703101","09","02"
"01","01014703102","05","07"
"01","01014703103","17","01"
"01","01014703104","20","01"
"01","01014705101","25","11"
"01","01014705102","22","12"
"01","01014705103","19","02"
"01","01014705104","11","10"
"01","01014705105","10","09"
"01","01016001101","23","04"
"01","01016001102","01","02"
"01","01016003101","15","12"
"01","01016003102","05","09"
"01","01016003103","09","03"
"01","01016003104","01","01"
"01","01016003105","01","02"
"01","01016003201","02","04"
"01","01016003202","16","02"
"01","01016003203","27","08"
"01","01016004101","07","06"
"01","01016004102","16","09"
"01","01016005101","14","07"
"01","01016005102","17","01"
"01","01016005103","08","12"
"01","01016005104","11","02"
"01","01016005105","29","12"
"01","01016005106","19","06"
"01","01016005107","12","07"
"01","01016701101","16","11"
"01","01016701102","17","02"
"01","01016701103","23","07"
"01","01016701104","03","02"
"01","01016701105","25","12"
"01","01016702101","12","05"
"01","01016702102","26","08"
"01","01016702103","16","09"
"01","01016702104","09","09"
"01","01016702105","10","04"
"01","01016702106","05","02"
"01","01016703101","03","05"
"01","01016703102","17","10"
"01","01016703103","23","05"
"01","01016703104","21","12"
"01","01016705101","05","03"
"01","01016705102","22","12"
"01","01016705103","27","11"
"01","01016801101","99","99"
"01","01016801102","99","99"
"01","01016801103","22","11"
"01","01016801104","20","03"
"01","01016802101","07","07"
"01","01016802102","20","07"
"01","01016803101","10","06"
"01","01016803102","04","03"
"01","01016804101","04","05"
"01","01016804102","99","99"
"01","01016805101","99","99"
"01","01016805102","15","09"
"01","01016805103","04","07"
"01","01016805104","12","01"
"01","01017101101","07","01"
"01","01017101102","25","04"
"01","01017101103","07","04"
"01","01017101104","26","09"
"01","01017101105","08","10"
"01","01017101106","29","10"
"01","01017101107","02","08"
"01","01017101108","15","10"
"01","01017101109","02","10"
"01","01017102102","23","01"
"01","01017102103","18","10"
"01","01017102104","06","10"
"01","01017103101","24","10"
"01","01017103102","12","09"
"01","01017103103","03","12"
"01","01017104101","26","02"
"01","01017104102","02","04"
"01","01017104103","13","12"
"01","01017104104","20","10"
"01","01017104105","05","04"
"01","01017104106","04","12"
"01","01017104107","09","11"
"01","01017501101","25","12"
"01","01017501102","28","12"
"01","01017501103","15","11"
"01","01017501104","31","07"
"01","01017501105","13","09"
"01","01017502101","16","09"
"01","01017502102","02","11"
"01","01017502103","28","11"
"01","01017502104","10","09"
"01","01017503101","09","11"
"01","01017503102","23","12"
"01","01017503103","11","10"
"01","01017503104","29","11"
"01","01017504101","18","07"
"01","01017504102","23","04"
"01","01017504103","12","01"
"01","01017504104","22","02"
"01","01017601101","14","05"
"01","01017601102","17","10"
"01","01017601103","14","04"
"01","01017601104","08","05"
"01","01017601105","07","11"
"01","01017601106","22","08"
"01","01017602101","05","09"
"01","01017602102","21","01"
"01","01017602103","18","06"
"01","01017603101","24","09"
"01","01017603102","15","08"
"01","01017603103","03","03"
"01","01017604101","28","07"
"01","01017605101","20","04"
"01","01017605102","09","12"
"01","01017605103","18","07"
"01","01017605104","19","04"
"01","01018502101","21","09"
"01","01018502102","18","06"
"01","01018502103","01","10"
"01","01018502104","08","09"
"01","01018503101","03","08"
"01","01018503102","05","06"
"01","01018503103","14","09"
"01","01018503104","15","10"
"01","01018504101","06","06"
"01","01018504102","21","11"
"01","01018504103","05","12"
"01","01018504104","17","03"
"01","01018504105","09","12"
"01","01018505101","25","10"
"01","01018505102","30","10"
"01","01018505103","21","12"
"01","01018505104","28","12"
"01","01018901101","01","04"
"01","01018902101","14","04"
"01","01018902102","21","01"
"01","01018902103","04","10"
"01","01018902104","04","10"
"01","01018903101","30","04"
"01","01018903102","26","10"
"01","01018904101","99","01"
"01","01018904102","19","10"
"01","01018904103","99","99"
"01","01018904104","12","08"
"01","01018904105","12","10"
"01","01018904106","99","11"
"01","01018904107","99","99"
"01","01018905101","08","08"
"01","01018905102","24","06"
"01","01018905103","99","99"
"01","01019001101","13","05"
"01","01019001102","30","12"
"01","01019001103","08","07"
"01","01019001104","20","01"
"01","01019002101","30","10"
"01","01019002102","02","07"
"01","01019002103","12","10"
"01","01019002104","25","12"
"01","01019002105","19","08"
"01","01019003101","04","04"
"01","01019003102","16","09"
"01","01019003103","05","02"
"01","01019003104","14","03"
"01","01019004101","03","09"
"01","01019004102","26","12"
"01","01019004103","06","03"
"01","01019005101","15","10"
"01","01019005102","11","05"
"01","01019005103","22","03"
"01","01019005104","12","07"
"01","01019005105","23","08"
"01","01019005106","24","12"
"01","01019201101","24","04"
"01","01019202101","20","04"
"01","01019202102","20","01"
"01","01019202103","20","06"
"01","01019202104","20","10"
"01","01019202105","11","01"
"01","01019202106","07","10"
"01","01019202107","03","02"
"01","01019203101","18","01"
"01","01019204101","02","02"
"01","01019204102","01","10"
"01","01019204103","04","10"
"01","01019204104","08","12"
"01","01019204105","23","04"
"01","01019204106","18","05"
"01","01019205101","30","08"
"01","01019205102","31","12"
"01","01019205103","11","04"
"01","01020201101","31","01"
"01","01020201102","11","11"
"01","01020201103","12","06"
"01","01020201104","01","08"
"01","01020202101","05","06"
"01","01020202102","11","11"
"01","01020202103","30","05"
"01","01020202104","01","05"
"01","01020202105","14","11"
"01","01020202106","03","11"
"01","01020202107","29","09"
"01","01020202108","15","08"
"01","01020203101","06","12"
"01","01020204101","14","07"
"01","01020204102","24","06"
"01","01020204103","13","01"
"01","01020204104","07","12"
"01","01020204105","15","11"
"01","01020204106","26","10"
"01","01020205101","05","03"
"01","01020205102","26","07"
"01","01020301101","04","01"
"01","01020301102","15","04"
"01","01020301103","01","05"
"01","01020301104","04","01"
"01","01020301105","24","12"
"01","01020301106","24","03"
"01","01020301201","07","05"
"01","01020301202","28","08"
"01","01020301203","13","10"
"01","01020301204","04","12"
"01","01020302101","28","11"
"01","01020302102","28","11"
"01","01020302103","09","12"
"01","01020302104","15","08"
"01","01020302105","24","08"
"01","01020302106","21","03"
"01","01020302107","26","07"
"01","01020303101","11","08"
"01","01020303102","26","10"
"01","01020303103","18","03"
"01","01020303104","06","03"
"01","01020303105","13","06"
"01","01020304101","20","05"
"01","01020304102","11","03"
"01","01020304103","26","07"
"01","01020304104","26","09"
"01","01020304105","26","08"
"01","01020305101","09","01"
"01","01020305102","09","01"
"01","01020305103","05","04"
"01","01020305104","27","08"
"01","01020305105","27","05"
"01","01020401101","09","10"
"01","01020401102","05","01"
"01","01020402101","14","08"
"01","01020402102","10","02"
"01","01020402103","24","01"
"01","01020403101","30","04"
"01","01020403102","01","09"
"01","01020701101","10","09"
