iter,time,f(xk),||Df(xk)||
271,0.000328,1.204897e+02,6.98535172
272,0.000350,1.204707e+02,3.41073536
273,0.000648,1.204636e+02,4.83813196
274,0.000557,1.204525e+02,2.86862869
275,0.000692,1.204462e+02,7.37937755
276,0.000740,1.204256e+02,3.55113354
277,0.000443,1.204192e+02,5.16152098
278,0.000483,1.204072e+02,2.96019949
279,0.000439,1.204047e+02,8.11384257
280,0.000430,1.203808e+02,3.80257342
281,0.000420,1.203759e+02,5.71470232
282,0.000465,1.203621e+02,3.11927019
283,0.000413,1.203537e+02,4.24606138
284,0.000421,1.203515e+02,6.64057113
285,0.000469,1.203344e+02,3.39468733
286,0.000420,1.203273e+02,4.87710190
287,0.000416,1.203163e+02,2.91955213
288,0.000462,1.203124e+02,7.88687764
289,0.000419,1.202900e+02,3.80420914
290,0.000422,1.202852e+02,5.78075066
291,0.000477,1.202714e+02,3.17731090
292,0.000466,1.202633e+02,4.41815729
293,0.000416,1.202626e+02,7.05687301
294,0.000463,1.202439e+02,3.56756724
295,0.000415,1.202379e+02,5.30112403
296,0.000424,1.202257e+02,3.05895546
297,0.000463,1.202171e+02,4.15761438
298,0.000422,1.202147e+02,6.56675917
299,0.000461,1.201982e+02,3.44430055
300,0.000330,1.201916e+02,5.05638082
301,0.000357,1.201801e+02,3.00811060
302,0.004646,1.201713e+02,4.05191706
303,0.000088,1.201684e+02,6.37718142
304,0.000137,1.201526e+02,3.40532057
305,0.000311,1.201459e+02,4.99009839
306,0.000316,1.201347e+02,3.00238003
307,0.000352,1.201259e+02,4.05227323
308,0.000313,1.201231e+02,6.41266571
309,0.000214,1.201073e+02,3.44130666
310,0.000320,1.201008e+02,5.09511595
311,0.000349,1.200893e+02,3.04734678
312,0.000316,1.200808e+02,4.17870423
313,0.000332,1.200789e+02,6.70698819
314,0.000362,1.200621e+02,3.55640112
315,0.000320,1.200563e+02,5.37500901
316,0.000326,1.200441e+02,3.14328694
317,0.000356,1.200361e+02,4.42706166
318,0.000315,1.200265e+02,2.87527442
319,0.000319,1.200214e+02,7.73304993
320,0.000351,1.200006e+02,3.94296034
321,0.000353,1.199973e+02,6.25938402
322,0.000315,1.199823e+02,3.44759882
323,0.000351,1.199760e+02,5.16825885
324,0.000315,1.199645e+02,3.10685094
325,0.000316,1.199563e+02,4.36738827
326,0.000355,1.199561e+02,7.19775300
327,0.000323,1.199377e+02,3.79479887
328,0.000371,1.199336e+02,5.97541474
329,0.000416,1.199197e+02,3.38249767
330,0.000453,1.199131e+02,5.04722544
331,0.000439,1.199020e+02,3.08978504
332,0.000395,1.198938e+02,4.34753458
333,0.000591,1.198936e+02,7.19775931
334,0.000476,1.198753e+02,3.82645908
335,0.000320,1.198715e+02,6.07912413
336,0.000366,1.198573e+02,3.44134605
337,0.000332,1.198511e+02,5.21154573
338,0.000318,1.198396e+02,3.15943765
339,0.000347,1.198319e+02,4.54138790
340,0.004126,1.198221e+02,2.95477249
341,0.000103,1.198209e+02,8.50907801
342,0.000197,1.197972e+02,4.36774633
343,0.000175,1.197880e+02,2.91050877
344,0.000350,1.197849e+02,8.18016348
345,0.000326,1.197629e+02,4.26712814
346,0.000308,1.197624e+02,7.11857650
347,0.000345,1.197447e+02,3.87060110
348,0.000325,1.197415e+02,6.25359119
349,0.000314,1.197269e+02,3.55933378
350,0.000311,1.197216e+02,5.54906747
351,0.000343,1.197093e+02,3.31594506
352,0.000341,1.197025e+02,4.97565767
353,0.000340,1.196918e+02,3.12620521
354,0.000467,1.196840e+02,4.50948454
355,0.000307,1.196745e+02,2.97856596
356,0.000311,1.196659e+02,4.13101424
357,0.000349,1.196646e+02,6.87881229
358,0.000304,1.196480e+02,3.82595991
359,0.000344,1.196446e+02,6.20274656
360,0.000346,1.196304e+02,3.57894987
361,0.000304,1.196253e+02,5.63830190
362,0.000302,1.196128e+02,3.37906719
363,0.000351,1.196066e+02,5.16662565
364,0.000313,1.195954e+02,3.21733620
365,0.000334,1.195882e+02,4.77219745
366,0.000356,1.195781e+02,3.08640395
367,0.000366,1.195702e+02,4.44217703
368,0.000398,1.195609e+02,2.98027925
369,0.000318,1.195523e+02,4.16590360
370,0.000351,1.195516e+02,7.02720742
371,0.002916,1.195347e+02,3.94088025
372,0.000076,1.195323e+02,6.52762838
373,0.000082,1.195171e+02,3.75163641
374,0.000171,1.195134e+02,6.09876379
375,0.000345,1.194997e+02,3.59244642
376,0.000307,1.194949e+02,5.73040355
377,0.000305,1.194824e+02,3.45847895
378,0.000355,1.194767e+02,5.41390463
379,0.000309,1.194651e+02,3.34568336
380,0.000315,1.194587e+02,5.14196013
381,0.000352,1.194478e+02,3.25067708
382,0.000315,1.194409e+02,4.90839300
383,0.000311,1.194306e+02,3.17064405
384,0.000320,1.194232e+02,4.70797977
385,0.000107,1.194134e+02,3.10324647
386,0.000266,1.194056e+02,4.53630402
387,0.000353,1.193962e+02,3.04654889
388,0.000382,1.193882e+02,4.38963496
389,0.000316,1.193791e+02,2.99895361
390,0.000356,1.193708e+02,4.26482681
391,0.000350,1.193620e+02,2.95914599
392,0.000315,1.193620e+02,8.83501630
393,0.000315,1.193383e+02,4.81236661
394,0.000350,1.193283e+02,3.15966512
395,0.002760,1.193209e+02,4.71009638
396,0.000076,1.193112e+02,3.12623344
397,0.000175,1.193036e+02,4.62656450
398,0.000301,1.192941e+02,3.09955609
399,0.000340,1.192864e+02,4.56005931
400,0.000290,1.192770e+02,3.07898020
401,0.000267,1.192692e+02,4.50927662
402,0.000310,1.192599e+02,3.06400850
403,0.000400,1.192520e+02,4.47321584
404,0.000314,1.192429e+02,3.05427475
405,0.000315,1.192349e+02,4.45114343
406,0.000391,1.192258e+02,3.04952939
407,0.000332,1.192179e+02,4.44256994
408,0.000313,1.192088e+02,3.04963017
409,0.000364,1.192008e+02,4.44723474
410,0.000316,1.191917e+02,3.05453619
411,0.000320,1.191838e+02,4.46509638
412,0.000354,1.191747e+02,3.06430503
