iter,time,f(xk),||Df(xk)||
328,0.000402,1.706658e+02,10.60536473
329,0.000406,1.706324e+02,7.51621630
330,0.000448,1.706089e+02,5.76779746
331,0.000423,1.705964e+02,10.09798921
332,0.000425,1.705653e+02,7.20571864
333,0.000458,1.705431e+02,5.57413507
334,0.000441,1.705299e+02,9.65664325
335,0.000407,1.705009e+02,6.93345017
336,0.000402,1.704798e+02,5.40150780
337,0.000450,1.704661e+02,9.27341836
338,0.000428,1.704388e+02,6.69546033
339,0.000410,1.704188e+02,5.24862307
340,0.000638,1.704048e+02,8.94169582
341,0.000380,1.703791e+02,6.48846267
342,0.004178,1.703600e+02,5.11438605
343,0.000131,1.703459e+02,8.65585727
344,0.000116,1.703214e+02,6.30962098
345,0.000119,1.703031e+02,4.99772743
346,0.000124,1.702889e+02,8.41104393
347,0.000149,1.702655e+02,6.15636881
348,0.000128,1.702478e+02,4.89750333
349,0.000110,1.702337e+02,8.20301053
350,0.000102,1.702112e+02,6.02634340
351,0.000112,1.701941e+02,4.81247784
352,0.000116,1.701800e+02,8.02801378
353,0.000148,1.701582e+02,5.91733436
354,0.000118,1.701416e+02,4.74134292
355,0.000107,1.701275e+02,7.88276186
356,0.000109,1.701064e+02,5.82730223
357,0.000181,1.700901e+02,4.68277398
358,0.000129,1.700760e+02,7.76436996
359,0.000105,1.700554e+02,5.75438018
360,0.000108,1.700394e+02,4.63548275
361,0.000105,1.700254e+02,7.67034555
362,0.000097,1.700052e+02,5.69690919
363,0.000099,1.699894e+02,4.59827219
364,0.000109,1.699755e+02,7.59856144
365,0.000100,1.699556e+02,5.65343925
366,0.000096,1.699400e+02,4.57006997
367,0.000113,1.699262e+02,7.54724333
368,0.000104,1.699065e+02,5.62274912
369,0.000101,1.698911e+02,4.54995445
370,0.000106,1.698773e+02,7.51494091
371,0.000100,1.698578e+02,5.60383152
372,0.000097,1.698425e+02,4.53715987
373,0.000103,1.698288e+02,7.50051047
374,0.000099,1.698094e+02,5.59589607
375,0.000098,1.697942e+02,4.53107822
376,0.000104,1.697807e+02,7.50308387
377,0.000109,1.697613e+02,5.59834390
378,0.000104,1.697461e+02,4.53124763
379,0.000104,1.697328e+02,7.52205039
380,0.000119,1.697134e+02,5.61076338
381,0.000101,1.696983e+02,4.53734386
382,0.000098,1.696851e+02,7.55702876
383,0.000122,1.696658e+02,5.63290309
384,0.000113,1.696506e+02,4.54916439
385,0.000117,1.696377e+02,7.60785315
386,0.000121,1.696182e+02,5.66466842
387,0.000100,1.696030e+02,4.56661932
388,0.000109,1.695904e+02,7.67455166
389,0.000107,1.695708e+02,5.70609832
390,0.000101,1.695555e+02,4.58971796
391,0.000099,1.695433e+02,7.75733884
392,0.000104,1.695235e+02,5.75736648
393,0.000113,1.695081e+02,4.61856362
394,0.000138,1.694963e+02,7.85660149
395,0.000115,1.694763e+02,5.81876355
396,0.000103,1.694608e+02,4.65334471
397,0.000103,1.694494e+02,7.97289801
398,0.000419,1.694291e+02,5.89070366
399,0.000354,1.694135e+02,4.69433417
400,0.000315,1.694027e+02,8.10695097
401,0.000365,1.693820e+02,5.97371179
402,0.000354,1.693663e+02,4.74188509
403,0.000329,1.693561e+02,8.25965264
404,0.000370,1.693350e+02,6.06843522
405,0.002566,1.693191e+02,4.79643423
406,0.000094,1.693095e+02,8.43206360
407,0.000137,1.692880e+02,6.17563509
408,0.000083,1.692719e+02,4.85850118
409,0.000091,1.692631e+02,8.62542371
410,0.000096,1.692411e+02,6.29620230
411,0.000100,1.692247e+02,4.92869541
412,0.000093,1.692168e+02,8.84115641
413,0.000095,1.691942e+02,6.43115248
414,0.000091,1.691776e+02,5.00771831
415,0.000095,1.691707e+02,9.08088485
416,0.000097,1.691473e+02,6.58164612
417,0.000090,1.691304e+02,5.09637310
418,0.000098,1.691247e+02,9.34644177
419,0.000116,1.691005e+02,6.74898656
420,0.000107,1.690832e+02,5.19556941
421,0.000093,1.690788e+02,9.63989128
422,0.000098,1.690537e+02,6.93464460
423,0.000091,1.690360e+02,5.30633595
424,0.000093,1.690331e+02,9.96354480
425,0.000099,1.690070e+02,7.14025960
426,0.000092,1.689888e+02,5.42982745
427,0.000093,1.689875e+02,10.31998936
428,0.000102,1.689603e+02,7.36766920
429,0.000093,1.689416e+02,5.56734032
430,0.000108,1.689266e+02,4.53967260
431,0.000103,1.689136e+02,7.61721516
432,0.000107,1.688943e+02,5.71940998
433,0.000132,1.688790e+02,4.62647577
434,0.000132,1.688670e+02,7.89306767
435,0.000142,1.688470e+02,5.88861517
436,0.000099,1.688314e+02,4.72386936
437,0.000093,1.688205e+02,8.19757029
438,0.000099,1.687996e+02,6.07668652
439,0.000099,1.687837e+02,4.83307693
440,0.000095,1.687741e+02,8.53348080
441,0.000102,1.687523e+02,6.28560435
442,0.000093,1.687358e+02,4.95549138
443,0.000095,1.687277e+02,8.90391148
444,0.000098,1.687049e+02,6.51759335
445,0.000106,1.686879e+02,5.09268283
446,0.000110,1.686815e+02,9.31234345
447,0.000107,1.686574e+02,6.77513322
448,0.000104,1.686399e+02,5.24641247
449,0.000098,1.686354e+02,9.76266297
450,0.000097,1.686100e+02,7.06099012
451,0.000101,1.685918e+02,5.41865313
452,0.000104,1.685895e+02,10.25920787
453,0.000103,1.685625e+02,7.37824225
454,0.000103,1.685435e+02,5.61160970
455,0.000111,1.685282e+02,4.59645791
456,0.001883,1.685150e+02,7.72866297
457,0.000081,1.684951e+02,5.82684953
458,0.000090,1.684794e+02,4.72145338
459,0.000086,1.684674e+02,8.11787249
460,0.000088,1.684466e+02,6.06803532
461,0.000091,1.684304e+02,4.86297672
462,0.000099,1.684200e+02,8.54997541
463,0.000091,1.683979e+02,6.33817071
464,0.000095,1.683811e+02,5.02318996
465,0.000090,1.683725e+02,9.02970023
466,0.000092,1.683491e+02,6.64066206
467,0.000095,1.683316e+02,5.20454213
468,0.000092,1.683252e+02,9.56238643
469,0.000092,1.683001e+02,6.97933245
470,0.000091,1.682818e+02,5.40979065
471,0.000108,1.682779e+02,10.15404150
472,0.000097,1.682509e+02,7.35846695
473,0.000115,1.682317e+02,5.64203266
474,0.000101,1.682309e+02,10.81142961
475,0.000104,1.682016e+02,7.78286965
476,0.000121,1.681813e+02,5.90474305
477,0.000104,1.681650e+02,4.81009655
478,0.000101,1.681522e+02,8.25613794
479,0.000105,1.681305e+02,6.20085004
480,0.000116,1.681135e+02,4.98712394
481,0.000158,1.681026e+02,8.78627454
482,0.000139,1.680794e+02,6.53570908
483,0.000149,1.680617e+02,5.18952202
484,0.000103,1.680529e+02,9.37993387
485,0.000096,1.680279e+02,6.91416203
486,0.000097,1.680092e+02,5.42081414
487,0.000093,1.680032e+02,10.04479508
488,0.000094,1.679761e+02,7.34171593
489,0.000091,1.679562e+02,5.68499395
490,0.000111,1.679535e+02,10.78961087
491,0.000104,1.679238e+02,7.82460265
492,0.000095,1.679026e+02,5.98657285
493,0.000097,1.678855e+02,4.91693909
494,0.000103,1.678711e+02,8.36804318
495,0.000109,1.678484e+02,6.32965103
496,0.000139,1.678303e+02,5.12596875
497,0.000142,1.678179e+02,8.98194627
498,0.001605,1.677934e+02,6.72095166
499,0.000082,1.677744e+02,5.36672154
500,0.000077,1.677645e+02,9.67523545
501,0.000098,1.677377e+02,7.16691957
502,0.000090,1.677174e+02,5.64383654
503,0.000091,1.677106e+02,10.45824239
504,0.000096,1.676812e+02,7.67492390
505,0.000103,1.676595e+02,5.96260209
506,0.000093,1.676566e+02,11.34284440
507,0.000095,1.676239e+02,8.25337817
508,0.000100,1.676005e+02,6.32904064
509,0.000103,1.675815e+02,5.20317734
510,0.000097,1.675658e+02,8.90986819
511,0.000100,1.675404e+02,6.74891820
512,0.000101,1.675202e+02,5.46430990
513,0.000098,1.675070e+02,9.65752869
